Register;Name Doku;MadOne;Ostrama
30001;Aussentemperatur;90;130
30002;Luftansaugtemperatur;90;105
30003;Fehler;65535;65535
30004;Warnung;65535;65535
30005;Fehlerfrei;1;1
30006;Betriebsanzeige;20;19
31101;Raumsolltemperatur;230;180
31102;Raumtemperatur;32768;32768
31103;Raumfeuchte;65535;65535
31104;Vorlaufsolltemperatur;280;280
31105;HZ_Vorlauftemperatur;32768;32768
31106;;0;0
31201;Raumsolltemperatur2;0;0
31202;Raumtemperatur2;0;0
31203;Raumfeuchte2;0;0
31204;Vorlaufsolltemperatur2;32768;32768
31205;HZ_Vorlauftemperatur2;32768;32768
31206;;0;0
31301;HK3-Raumsolltemperatur;0;0
31302;HK3-Raumtemperatur;0;0
31303;HK3-Raumfeuchte;0;0
31304;HK3-Vorlaufsolltemperatur;32768;32768
31305;HK3-Vorlauftemperatur;32768;32768
31306;;0;0
31401;HK4-Raumsolltemperatur;0;0
31402;HK4-Raumtemperatur;0;0
31403;HK4-Raumfeuchte;0;0
31404;HK4-Vorlaufsolltemperatur;32768;32768
31405;HK4-Vorlauftemperatur;32768;32768
31406;;0;0
32101;Warmwassersolltemperatur;450;400
32102;Warmwassertemperatur;325;475
33101;Betrieb;20;19
33102;Störmeldung;1;1
33103;Leistungsanforderung;79;0
33104;Vorlauftemperatur;425;275
33105;Rücklauftemperatur;380;275
33106;;0;105
33107;;115;290
33108;;32768;32768
33109;;32768;32768
33110;;0;0
33111;;425;272
34101;Status 2. WEZ;0;0
34102;Schaltspiele E-Heizung 1;8;99
34103;Schaltspiele E-Heizung 2;0;0
34104;Status E-Heizung 1;0;0
34105;Status E-Heizung 2;0;0
34106;Betriebsstunden E1;0;4
34107;Betriebsstunden E2;0;0
35101;IO-SG-Ready 1;0;0
35102;IO-SG-Ready 2;0;0
35103;IO-Eingang H1.2;32768;32778
35104;IO-Eingang H1.3;32768;32768
35105;IO-Eingang H1.4;0;0
35106;IO-Eingang H1.5;32768;32768
35107;IO-Eingang DE1;0;0
35108;IO-Eingang DE2;0;0
36101;Gesamt Energie heute;41;28
36102;Gesamt Energie gestern;45;36
36103;Gesamt Energie Monat;1236;764
36104;Gesamt Energie Jahr;0;0
36201;Heizen Energie heute;28;28
36202;Heizen Energie gestern;35;25
36203;Heizen Energie Monat;939;646
36204;Heizen Energie Jahr;0;0
36301;Warmwasser Energie heute;13;0
36302;Warmwasser Energie gestern;9;10
36303;Warmwasser Energie Monat;296;117
36304;Warmwasser Energie Jahr;0;0
36401;Kühlen Energie heute;0;0
36402;Kühlen Energie gestern;0;0
36403;Kühlen Energie Monat;0;0
36404;Kühlen Energie Jahr;0;0
36501;Abtauen Energie heute;0;0
36502;Abtauen Energie gestern;0;0
36503;Abtauen Energie Monat;1;0
36504;Abtauen Energie Jahr;0;0
36601;Gesamt Energie II heute;41;28
36602;Gesamt Energie II gestern;45;36
36603;Gesamt Energie II Monat;1234;762
36604;Gesamt Energie II Jahr;0;0
36701;Elektr. Energie heute;8;5
36702;Elektr. Energie gestern;8;8
36703;Elektr. Energie Monat;246;166
36704;Elektr. Energie Jahr;0;0
36801;;0;0
40001;Systembetriebsart;1;1
40002;;0;0
41101;HZ_Konfiguration;3;3
41102;Anforderung Typ;1;1
41103;Betriebsart;0;0
41104;Pause / Party;25;25
41105;Raumsolltemperatur Komfort;230;225
41106;Raumsolltemperatur Normal;200;200
41107;Raumsolltemperatur Absenk;170;180
41108;Heizkennlinie;40;80
41109;Sommer Winter Umschaltung;180;180
41110;Heizen Konstanttemperatur;350;350
41111;Heizen Konstanttemp Absenk;32768;32768
41112;Kühlen Konstanttemperatur;200;200
41201;HZ_Konfiguration2;0;0
41202;Anforderung Typ2;1;1
41203;Betriebsart2;0;0
41204;Pause / Party 2;25;25
41205;Raumsolltemperatur Komfort2;210;210
41206;Raumsolltemperatur Normal2;200;200
41207;Raumsolltemperatur Absenk2;180;180
41208;Heizkennlinie2;75;75
41209;Sommer Winter Umschaltung2;180;180
41210;Heizen Konstanttemperatur2;350;350
41211;Heizen Konstanttemp Absenk2;32768;32768
41212;Kühlen Konstanttemperatur2;200;200
41301;HK3 - Konfiguration;0;0
41302;HK3 - Anforderung;1;1
41303;HK3 - Betriebsart;0;0
41304;HK3 - Pause / Party;25;25
41305;HK3 - Raumsolltemperatur Komfort;210;210
41306;HK3 - Raumsolltemperatur Normal;200;200
41307;HK3 - Raumsolltemperatur Absenk;180;180
41308;HK3 - Heizkennlinie;75;75
41309;HK3 - Sommer Winter Umschaltung;180;180
41310;HK3 - Heizen Konstanttemperatur;350;350
41311;HK3 - Heizen Konstanttemp Absenk;32768;32768
41312;HK3 - Kühlen Konstanttemperatur;200;200
41401;HK4 - Konfiguration;0;0
41402;HK4 - Anforderung;1;1
41403;HK4 - Betriebsart;0;0
41404;HK4 - Pause / Party;25;25
41405;HK4 - Raumsolltemperatur Komfort;210;210
41406;HK4 - Raumsolltemperatur Normal;200;200
41407;HK4 - Raumsolltemperatur Absenk;180;180
41408;HK4 - Heizkennlinie;75;75
41409;HK4 - Sommer Winter Umschaltung;180;180
41410;HK4 - Heizen Konstanttemperatur;350;350
41411;HK4 - Heizen Konstanttemp Absenk;32768;32768
41412;HK4 - Kühlen Konstanttemperatur;200;200
42101;WW_Konfiguration;1;1
42102;Warmwasser Push;0;0
42103;Warmwasser Normal;450;500
42104;Warmwasser Absenk;350;400
42105;SG Ready Anhebung;1;50
43101;Konfiguration;4;4
43102;Ruhemodus;0;0
43103;Pumpe Einschaltart;1;1
43104;Pumpe Leistung Heizen;90;75
43105;Pumpe Leistung Kühlen;90;80
43106;Pumpe Leistung Warmwasser;80;80
43107;Pumpe Leistung Abtaubetrieb;95;100
43108;Volumenstrom Heizen;168;168
43109;Volumenstrom Kühlen;219;219
43110;Volumenstrom Warmwasser;168;168
44101;W2_Konfiguration;255;255
44102;Grenztemperatur;5;5
44103;Bivalenztemperatur;6;6
44104;Bivalenztemperatur WW;32768;32768
44105;;65486;65486
44106;;65486;65486
45101;SGR1 Konfiguration;0;0
45102;SGR2 Konfiguration;2;2
45103;H1.2 Konfiguration;3;3
45104;H1.3 Konfiguration;4;4
45105;H1.4 Konfiguration;3;3
45106;H1.5 Konfiguration;4;4
45107;DE1 Konfiguration;65535;65535
45108;DE2 Konfiguration;65535;65535
